ID,Order_id,Order_Date,Ship _Date,Ship_Mode,Customer_id,Customer_Name,Segment
1,CA-2023-152156,11/8/2023,11/11/2023,Second Class,CG-12520,Claire Gute,Consumer
2,CA-2023-152156,11/8/2023,11/11/2023,Second Class,CG-12520,Claire Gute,Consumer
3,CA-2023-138688,6/12/2023,6/16/2023,Second Class,DV-13045,Darrin Van Huff,Corporate
4,US-2022-108966,10/11/2022,10/18/2022,Standard Class,SO-20335,Sean O'Donnell,Consumer
5,US-2022-108966,10/11/2022,10/18/2022,Standard Class,SO-20335,Sean O'Donnell,Consumer
6,CA-2021-115812,6/9/2021,6/14/2021,Standard Class,BH-11710,Brosina Hoffman,Consumer
7,CA-2021-115812,6/9/2021,6/14/2021,Standard Class,BH-11710,Brosina Hoffman,Consumer
8,CA-2021-115812,6/9/2021,6/14/2021,Standard Class,BH-11710,Brosina Hoffman,Consumer
9,CA-2021-115812,6/9/2021,6/14/2021,Standard Class,BH-11710,Brosina Hoffman,Consumer
10,CA-2021-115812,6/9/2021,6/14/2021,Standard Class,BH-11710,Brosina Hoffman,Consumer
11,CA-2021-115812,6/9/2021,6/14/2021,Standard Class,BH-11710,Brosina Hoffman,Consumer
12,CA-2021-115812,6/9/2021,6/14/2021,Standard Class,BH-11710,Brosina Hoffman,Consumer
13,CA-2024-114412,4/15/2024,4/20/2024,Standard Class,AA-10480,Andrew Allen,Consumer
14,CA-2023-161389,12/5/2023,12/10/2023,Standard Class,IM-15070,Irene Maddox,Consumer
15,US-2022-118983,11/22/2022,11/26/2022,Standard Class,HP-14815,Harold Pawlan,Home Office
16,US-2022-118983,11/22/2022,11/26/2022,Standard Class,HP-14815,Harold Pawlan,Home Office
17,CA-2021-105893,11/11/2021,11/18/2021,Standard Class,PK-19075,Pete Kriz,Consumer
18,CA-2021-167164,5/13/2021,5/15/2021,Second Class,AG-10270,Alejandro Grove,Consumer
19,CA-2021-143336,8/27/2021,9/1/2021,Second Class,ZD-21925,Zuschuss Donatelli,Consumer
20,CA-2021-143336,8/27/2021,9/1/2021,Second Class,ZD-21925,Zuschuss Donatelli,Consumer
21,CA-2021-143336,8/27/2021,9/1/2021,Second Class,ZD-21925,Zuschuss Donatelli,Consumer
22,CA-2023-137330,12/9/2023,12/13/2023,Standard Class,KB-16585,Ken Black,Corporate
23,CA-2023-137330,12/9/2023,12/13/2023,Standard Class,KB-16585,Ken Black,Corporate
24,US-2024-156909,7/16/2024,7/18/2024,Second Class,SF-20065,Sandra Flanagan,Consumer
25,CA-2022-106320,9/25/2022,9/30/2022,Standard Class,EB-13870,Emily Burns,Consumer
26,CA-2023-121755,1/16/2023,1/20/2023,Second Class,EH-13945,Eric Hoffmann,Consumer
27,CA-2023-121755,1/16/2023,1/20/2023,Second Class,EH-13945,Eric Hoffmann,Consumer
28,US-2022-150630,9/17/2022,9/21/2022,Standard Class,TB-21520,Tracy Blumstein,Consumer
29,US-2022-150630,9/17/2022,9/21/2022,Standard Class,TB-21520,Tracy Blumstein,Consumer
30,US-2022-150630,9/17/2022,9/21/2022,Standard Class,TB-21520,Tracy Blumstein,Consumer
31,US-2022-150630,9/17/2022,9/21/2022,Standard Class,TB-21520,Tracy Blumstein,Consumer
32,US-2022-150630,9/17/2022,9/21/2022,Standard Class,TB-21520,Tracy Blumstein,Consumer
33,US-2022-150630,9/17/2022,9/21/2022,Standard Class,TB-21520,Tracy Blumstein,Consumer
34,US-2022-150630,9/17/2022,9/21/2022,Standard Class,TB-21520,Tracy Blumstein,Consumer
35,CA-2024-107727,10/19/2024,10/23/2024,Second Class,MA-17560,Matt Abelman,Home Office
36,CA-2023-117590,12/8/2023,12/10/2023,First Class,GH-14485,Gene Hale,Corporate
37,CA-2023-117590,12/8/2023,12/10/2023,First Class,GH-14485,Gene Hale,Corporate
38,CA-2022-117415,12/27/2022,12/31/2022,Standard Class,SN-20710,Steve Nguyen,Home Office
39,CA-2022-117415,12/27/2022,12/31/2022,Standard Class,SN-20710,Steve Nguyen,Home Office
40,CA-2022-117415,12/27/2022,12/31/2022,Standard Class,SN-20710,Steve Nguyen,Home Office
41,CA-2022-117415,12/27/2022,12/31/2022,Standard Class,SN-20710,Steve Nguyen,Home Office
42,CA-2024-120999,9/10/2024,9/15/2024,Standard Class,LC-16930,Linda Cazamias,Corporate
43,CA-2023-101343,7/17/2023,7/22/2023,Standard Class,RA-19885,Ruben Ausman,Corporate
44,CA-2024-139619,9/19/2024,9/23/2024,Standard Class,ES-14080,Erin Smith,Corporate
45,CA-2023-118255,3/11/2023,3/13/2023,First Class,ON-18715,Odella Nelson,Corporate
46,CA-2023-118255,3/11/2023,3/13/2023,First Class,ON-18715,Odella Nelson,Corporate
47,CA-2021-146703,10/20/2021,10/25/2021,Second Class,PO-18865,Patrick O'Donnell,Consumer
48,CA-2023-169194,6/20/2023,6/25/2023,Standard Class,LH-16900,Lena Hernandez,Consumer
49,CA-2023-169194,6/20/2023,6/25/2023,Standard Class,LH-16900,Lena Hernandez,Consumer
50,CA-2022-115742,4/18/2022,4/22/2022,Standard Class,DP-13000,Darren Powers,Consumer
51,CA-2022-115742,4/18/2022,4/22/2022,Standard Class,DP-13000,Darren Powers,Consumer
52,CA-2022-115742,4/18/2022,4/22/2022,Standard Class,DP-13000,Darren Powers,Consumer
53,CA-2022-115742,4/18/2022,4/22/2022,Standard Class,DP-13000,Darren Powers,Consumer
54,CA-2023-105816,12/11/2023,12/17/2023,Standard Class,JM-15265,Janet Molinari,Corporate
55,CA-2023-105816,12/11/2023,12/17/2023,Standard Class,JM-15265,Janet Molinari,Corporate
56,CA-2023-111682,6/17/2023,6/18/2023,First Class,TB-21055,Ted Butterfield,Consumer
57,CA-2023-111682,6/17/2023,6/18/2023,First Class,TB-21055,Ted Butterfield,Consumer
58,CA-2023-111682,6/17/2023,6/18/2023,First Class,TB-21055,Ted Butterfield,Consumer
59,CA-2023-111682,6/17/2023,6/18/2023,First Class,TB-21055,Ted Butterfield,Consumer
60,CA-2023-111682,6/17/2023,6/18/2023,First Class,TB-21055,Ted Butterfield,Consumer
61,CA-2023-111682,6/17/2023,6/18/2023,First Class,TB-21055,Ted Butterfield,Consumer
62,CA-2023-111682,6/17/2023,6/18/2023,First Class,TB-21055,Ted Butterfield,Consumer
63,CA-2022-135545,11/24/2022,11/30/2022,Standard Class,KM-16720,Kunst Miller,Consumer
64,CA-2022-135545,11/24/2022,11/30/2022,Standard Class,KM-16720,Kunst Miller,Consumer
65,CA-2022-135545,11/24/2022,11/30/2022,Standard Class,KM-16720,Kunst Miller,Consumer
66,CA-2022-135545,11/24/2022,11/30/2022,Standard Class,KM-16720,Kunst Miller,Consumer
67,US-2022-164175,4/30/2022,5/5/2022,Standard Class,PS-18970,Paul Stevenson,Home Office
68,CA-2021-106376,12/5/2021,12/10/2021,Standard Class,BS-11590,Brendan Sweed,Corporate
69,CA-2021-106376,12/5/2021,12/10/2021,Standard Class,BS-11590,Brendan Sweed,Corporate
70,CA-2023-119823,6/4/2023,6/6/2023,First Class,KD-16270,Karen Daniels,Consumer
71,CA-2023-106075,9/18/2023,9/23/2023,Standard Class,HM-14980,Henry MacAllister,Consumer
72,CA-2024-114440,9/14/2024,9/17/2024,Second Class,TB-21520,Tracy Blumstein,Consumer
73,US-2022-134026,4/26/2022,5/2/2022,Standard Class,JE-15745,Joel Eaton,Consumer
74,US-2022-134026,4/26/2022,5/2/2022,Standard Class,JE-15745,Joel Eaton,Consumer
75,US-2022-134026,4/26/2022,5/2/2022,Standard Class,JE-15745,Joel Eaton,Consumer
76,US-2024-118038,12/9/2024,12/11/2024,First Class,KB-16600,Ken Brennan,Corporate
77,US-2024-118038,12/9/2024,12/11/2024,First Class,KB-16600,Ken Brennan,Corporate
78,US-2024-118038,12/9/2024,12/11/2024,First Class,KB-16600,Ken Brennan,Corporate
79,US-2021-147606,11/26/2021,12/1/2021,Second Class,JE-15745,Joel Eaton,Consumer
80,CA-2023-127208,6/12/2023,6/15/2023,First Class,SC-20770,Stewart Carmichael,Corporate
81,CA-2023-127208,6/12/2023,6/15/2023,First Class,SC-20770,Stewart Carmichael,Corporate
